('Movers', 3.2957427536231885)
('Gates', 3.824607329842932)
('Small', 3.875)
('Plates', 3.875)
('Electricians', 3.9644194756554305)
('Gluten', 3.7604895104895104)
('Free', 3.7574884792626726)
('Flavor', 3.987534626038781)
('Poutineries', 3.6906077348066297)
('Laboratory', 2.8964646464646466)
('Testing', 3.050228310502283)
('Chimney', 3.8902439024390243)
('Sweeps', 3.8902439024390243)
('Cleaning', 3.592192006592501)
('Mobile', 3.252049180327869)
('Holiday', 3.75)
('Decorations', 3.4594594594594597)
('Mediums', 4.328125)
('Psychics', 4.1953125)
('Musical', 4.0834797891036905)
('Flight', 4.4324324324324325)
('Washing', 4.050898203592815)
('Poke', 4.133720930232558)
('Electronics', 3.3179431072210064)
('Indian', 3.5580926796507724)
('Pawn', 3.430379746835443)
('Vape', 4.056748466257669)
('Commercial', 3.7240356083086055)
('Agents', 4.141582622187743)
('Lingerie', 3.644194756554307)
('Advising', 3.6189024390243905)
('Tub', 3.776944704779756)
('Pool', 3.772380467955239)
('Allergists', 3.6298076923076925)
('Tiling', 4.240802675585284)
('Assembly', 4.107692307692307)
('Private', 4.266666666666667)
('Jet', 4.467741935483871)
('Charter', 4.333333333333333)
('Packing', 3.6984375)
('Gift', 3.9436435124508518)
('Auction', 3.0821917808219177)
('Liquidation', 3.1666666666666665)
('Organic', 4.002202643171806)
('Drugstores', 3.004453681710214)
('Gelato', 4.125)
('Roasteries', 4.221311475409836)
('Advertising', 4.166666666666667)
('Photography', 4.165291529152915)
('Session', 4.511818181818182)
('Print', 3.732258064516129)
('Mass', 3.5172413793103448)
('Signmaking', 3.8842443729903535)
('Refinishing', 4.466480446927374)
('Office', 3.66864490603363)
('Botanical', 4.2875)
('Cocktail', 3.7997592295345104)
('Photo', 4.608108108108108)
('Booth', 4.608108108108108)
('Walkers', 4.541009463722397)
('Resorts', 3.335680751173709)
('Carpeting', 3.9163090128755367)
('Latin', 3.8917089678510997)
('Solar', 3.845)
('DUI', 4.273584905660377)
('Interval', 4.709251101321586)
('Keys', 3.988095238095238)
('Halal', 3.6129032258064515)
('Games', 4.275471698113208)
('Do', 3.9046511627906977)
('It', 3.9046511627906977)
('Puerto', 4.153846153846154)
('Pharmacy', 2.9113475177304964)
('Customized', 4.087662337662338)
('Noodles', 3.639705882352941)
('Wills', 4.276470588235294)
('Organizations', 4.261343012704174)
('Tobacco', 3.9398625429553267)
('Bowling', 3.448717948717949)
('Mountain', 4.475609756097561)
('Waffles', 3.777310924369748)
('Gay', 3.4943181818181817)
('Dinner', 3.825)
('Bagels', 3.364227642276423)
('Animal', 3.787878787878788)
('Shelters', 3.639455782312925)
('Neurologist', 2.969298245614035)
('Notaries', 3.5293594306049823)
('DJs', 4.446700507614213)
('Delicatessen', 3.8159722222222223)
('Propane', 3.2526315789473683)
('Horseback', 4.0058823529411764)
('Riding', 4.0058823529411764)
('Reflexology', 4.280737704918033)
('Sales', 3.850632911392405)
('Cardio', 4.241935483870968)
('Piercing', 4.102112676056338)
('Tiki', 3.875)
('Races', 3.7222222222222223)
